Index No,Organization,Year,Performance Rating
SSDFZF,UNICEF,2018,Solid Achievement
SSDFDP,UNICEF,2016,Solid Achievement
SSDOXR,UNDP,2017,Successful PLUS performance
SSDXFD,UNICEF,2016,Solid Achievement
SSDXKK,UNICEF,2017,Solid Achievement
SSDXKK,UNICEF,2018,Solid Achievement
SSRZRA,UNICEF,2016,Solid Achievement
SSRSXP,UNICEF,2016,Solid Achievement
SSRRF,UNICEF,2017,Solid Achievement
SSRAAO,UNICEF,2016,Solid Achievement
SSRAF,UNICEF,2017,Outstanding Achievement
SSRAF,UNICEF,2018,Solid Achievement
SSRFKO,UNICEF,2016,Solid Achievement
SSROSD,UNICEF,2016,Solid Achievement
SSASFO,UNICEF,2017,Solid Achievement
SSAKFF,UNDP,2017,Successful performance
SSAKXZ,UNICEF,2017,Outstanding Achievement
SSAKXZ,UNICEF,2018,Outstanding Achievement
SSAOFA,UNDP,2017,Successful performance
SSAOFA,UNDP,2018,
SSFPSK,UNICEF,2017,Outstanding Achievement
SSFRXS,UNICEF,2017,Outstanding Achievement
SSFRXS,UNICEF,2018,Outstanding Achievement
SSFAPP,UNICEF,2017,Solid Achievement
SSFFDD,UNICEF,2017,Solid Achievement
SSFKAA,UNDP,2017,Successful performance
SSFKAA,UNDP,2018,Successful performance
SSFOZS,UNICEF,2016,Solid Achievement
SSKRKZ,UNDP,2017,Successful performance
SSKRKZ,UNDP,2018,Successful performance
SSKFPA,UNICEF,2017,Outstanding Achievement
SSKFPA,UNICEF,2018,Outstanding Achievement
SSKXDK,UNICEF,2018,Solid Achievement
SSOZRP,UNDP,2017,Successful performance
SSOZRP,UNDP,2018,
SSOZRR,UNICEF,2016,Solid Achievement
SSOSPF,UNICEF,2017,Solid Achievement
SSOSPF,UNICEF,2018,Solid Achievement
SSOSAP,UNICEF,2016,Solid Achievement
SSOPFO,UNICEF,2016,Solid Achievement
SSORDA,UNDP,2017,Successful performance
SSORDA,UNDP,2018,Successful PLUS performance
SSORAF,UNDP,2017,Successful PLUS performance
SSOKPZ,UNICEF,2018,Solid Achievement
SSOKOR,UNICEF,2018,Solid Achievement
SSXZSO,UNDP,2017,Successful performance
SSXZSO,UNDP,2018,Successful PLUS performance
SSXPSP,UNICEF,2016,Solid Achievement
SSXDKS,UNICEF,2017,Outstanding Achievement
SSXAZZ,UNDP,2017,Successful performance
SSXAZZ,UNDP,2018,Successful performance
SSXFK,UNICEF,2017,Solid Achievement
SSXFK,UNICEF,2018,Solid Achievement
SSXOSX,UNICEF,2016,Solid Achievement
SSXXXX,UNDP,2017,Successful PLUS performance
SSXXXX,UNDP,2018,Successful PLUS performance
SPZZZ,UNICEF,2016,Solid Achievement
SPZPX,UNICEF,2016,Solid Achievement
SPZDSZ,UNICEF,2017,Outstanding Achievement
SPZRDR,UNICEF,2018,Solid Achievement
SPZASK,UNDP,2017,Successful PLUS performance
SPZFFK,UNDP,2017,Successful performance
SPZFFK,UNDP,2018,Successful performance
SPZXOK,UNDP,2018,Successful performance
SPSZSO,UNDP,2018,
SPSZOP,UNICEF,2016,Outstanding Achievement
SPSPZF,UNICEF,2016,Outstanding Achievement
SPSPRD,UNICEF,2017,Solid Achievement
SPSPRD,UNICEF,2018,Solid Achievement
SPSFXO,UNICEF,2017,Solid Achievement
SPSFXO,UNICEF,2018,Solid Achievement
SPSKDS,UNICEF,2016,Solid Achievement
SPSOZZ,UNICEF,2017,Outstanding Achievement
SPPZRA,UNICEF,2016,Outstanding Achievement
SPPSRO,UNICEF,2017,Solid Achievement
SPPSRO,UNICEF,2018,Solid Achievement
SPPDKR,UNICEF,2017,Outstanding Achievement
SPPDKR,UNICEF,2018,Solid Achievement
SPPADR,UNICEF,2017,Solid Achievement
SPPADR,UNICEF,2018,Solid Achievement
SPPXS,UNICEF,2017,Outstanding Achievement
SPPXOS,UNICEF,2016,Solid Achievement
SPDZPA,UNICEF,2016,Solid Achievement
SPDSZD,UNICEF,2016,Solid Achievement
SPDRAR,UNICEF,2018,Outstanding Achievement
SPDADO,UNICEF,2018,Solid Achievement
SPDKXO,UNDP,2017,Successful performance
SPDKXO,UNDP,2018,Successful PLUS performance
SPDOKZ,UNICEF,2016,Outstanding Achievement
SPDXSS,UNICEF,2017,Solid Achievement
SPDXSS,UNICEF,2018,Solid Achievement
SFRXAP,UNICEF,2017,Solid Achievement
SFAZPA,UNICEF,2017,Solid Achievement
SFAZPA,UNICEF,2018,Solid Achievement
SFAZDD,UNICEF,2017,Solid Achievement
SFAZDD,UNICEF,2018,Solid Achievement
SFASZK,UNICEF,2016,Solid Achievement
SFASOA,UNICEF,2016,Solid Achievement
SFAPAR,UNICEF,2016,Outstanding Achievement
SFADSX,UNDP,2017,Successful performance
SFADSX,UNDP,2018,
SFAROP,UNICEF,2016,Solid Achievement
SFAAAS,UNICEF,2017,Solid Achievement
SFAAAS,UNICEF,2018,Solid Achievement
SFAKZA,UNICEF,2017,Solid Achievement
SFAKRR,UNDP,2018,
SFFZZA,UNDP,2017,Partially successful performance
SFFPRP,UNICEF,2016,Solid Achievement
SFFDDA,UNICEF,2017,Solid Achievement
SFFDDA,UNICEF,2018,Solid Achievement
SFFAAF,UNICEF,2016,Solid Achievement
SFFXPP,UNICEF,2017,Solid Achievement
SFFXPP,UNICEF,2018,Solid Achievement
SFFXKK,UNICEF,2018,Solid Achievement
SFKZXF,UNICEF,2016,Outstanding Achievement
SFKZXF,UNICEF,2018,Solid Achievement
SFKSZF,UNICEF,2016,Solid Achievement
SFKSR,UNICEF,2016,Solid Achievement
SFKSA,UNICEF,2017,Solid Achievement
SFKSA,UNICEF,2018,Solid Achievement
SFKDOD,UNICEF,2018,Solid Achievement
SFKFSX,UNICEF,2017,Solid Achievement
SFKFSX,UNICEF,2018,Solid Achievement
SFKXZ,UNDP,2018,Successful PLUS performance
SFKXPP,UNICEF,2018,Outstanding Achievement
SFKXXO,UNDP,2017,Successful performance
SFORDK,UNICEF,2017,Solid Achievement
SFOAD,UNDP,2017,Successful PLUS performance
SFOAD,UNDP,2018,Successful PLUS performance
SFOARA,UNDP,2017,Successful PLUS performance
SFOFOD,UNICEF,2018,Solid Achievement
SFOKPS,UNDP,2017,Successful performance
SFOKPS,UNDP,2018,Successful performance
SFOKFP,UNICEF,2018,Outstanding Achievement
SFOOSX,UNICEF,2017,Solid Achievement
SFOOSX,UNICEF,2018,Solid Achievement
SFOOAK,UNICEF,2017,Solid Achievement
SFOXOX,UNICEF,2016,Solid Achievement
SFXZRR,UNICEF,2017,Solid Achievement
SFXZRR,UNICEF,2018,Solid Achievement
SFXZOX,UNICEF,2018,Solid Achievement
SFXSSO,UNICEF,2018,Outstanding Achievement
SFXPSS,UNICEF,2016,Solid Achievement
SFXPDO,UNICEF,2016,Solid Achievement
SFXRPR,UNICEF,2017,Solid Achievement
SFXRDX,UNDP,2017,Successful performance
SFXRDX,UNDP,2018,
SFXRKS,UNDP,2018,Successful performance
SFXFSS,UNICEF,2016,Solid Achievement
SFXFRD,UNICEF,2018,Outstanding Achievement
SKZDAO,UNDP,2017,Successful PLUS performance
SKZDAO,UNDP,2018,Successful PLUS performance
SKZDXX,UNICEF,2017,Solid Achievement
SKZDXX,UNICEF,2018,Solid Achievement
SKZRKS,UNDP,2017,Successful performance
SKZFAR,UNICEF,2018,Solid Achievement
SKZFO,UNICEF,2017,Solid Achievement
SKZKKO,UNICEF,2017,Solid Achievement
SKZKKO,UNICEF,2018,Solid Achievement
