Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSSSSXRF,Z,UNDP,24636,A6,218,,Programme Associate/Environment (For Rwandan nationals only),2011
SSSSSXRA,Z,UNDP,32138,A7,383,,Programme Associate (For Rwandan nationals only),2012
SSSSSXRA,Z,UNDP,33951,A7,275,,Programme Associate Governance,2012
SSSSSXRA,SSPFFR,UNDP,36897,A7,180,Internal,Programme Associate (Open to Rwandan Nationals only),2013
SSSSSXDS,SFXZRD,UNDP,32383,A9,196,Internal,Programme Analyst (For Rwandan nationals only),2012
SSSSSXDZ,RAARRP,UNDP,35278,A10,358,External,Programme Specialist/Poverty Reduction and Environment (For Rwandan nationals only),2013
SSSSSXDZ,KSZZZXDZ,UNDP,14565,A10,88,External,Prog Specialist (Environ & Pov) For Rwandese Only,2018
SSSSSXDX,Z,UNDP,24613,A9,171,,Procurement Analyst (For Rwandan nationals only),2011
SSSSSXDX,PRRXDX,UNDP,9099,A9,77,External,Procurement Analyst,2017
SSSSSXDO,Z,UNDP,24628,A10,169,,Programme Specialist/Governance (For Rwandan nationals only),2011
SSSSSXDK,Z,UNDP,24605,A6,243,,Human Resources Associate (for Rwandan nationals only),2011
SSSSSXPS,Z,UNDP,24591,A6,159,,Executive Associate to the Country Director (Rwandan nationals only),2011
SSSSSXPX,Z,UNDP,35358,A7,405,,Programme Associate,2013
SSSSSXPP,PSXKRX,UNDP,20991,A6,18,External,Executive Associate to RR/RC (Samoan nationals only),2011
SSSSSXPP,KSZZDOSO,UNDP,25148,A6,10,External,Personal Assistant,2019
SSSSSXPP,KSZZDOSO,UNDP,25413,A6,8,External,Executive Associate,2019
SSSSSOSS,Z,UNDP,22041,A7,276,,Programme Associate (Re-advertised),2011
SSSSSOSS,Z,UNDP,37596,A7,53,,Programme Associate (Environment & Climate Change),2013
SSSSSOSX,KSZZDSSP,UNDP,21702,A10,15,External,Asst Res Rep Program,2019
SSSSSOSA,KSZZSXRP,UNDP,19096,A10,20,External,Asst Res Rep Program,2019
SSSSSOSP,Z,UNDP,27691,A6,140,,Assistante  Directeur Pays Adjoint/Opérations  Bureau Pays & Centre Régional,2012
SSSSSOZZ,Z,UNDP,54499,A7,124,,Human Resources Associate - (Open to Somali Nationals Only),2015
SSSSSOZF,Z,UNDP,16864,A6,401,,Programme Associate, RC Office (Re-advertisement),2010
SSSSSOZR,Z,UNDP,20615,A16,460,,Administrative Assistant,2011
SSSSSOXZ,Z,UNDP,20162,A6,526,,Finance Associate (Local Position),2010
SSSSSOXK,Z,UNDP,48726,A10,87,,Operations Specialist - (Open to Somali Nationals Only),2014
SSSSSOXD,Z,UNDP,4120,A7,202,,Finance Associate,2016
SSSSSOKZ,Z,UNDP,12658,A7,71,,Programme Finance Associate,2017
SSSSSOKZ,RRKZA,UNDP,18675,A7,66,Internal,Programme Finance Associate,2018
SSSSSOKA,Z,UNDP,43928,A7,90,,Executive Associate to RR/RC  (Only open to South African Nationals),2014
SSSSSOKP,Z,UNDP,25386,A10,83,,Operations Manager,2019
SSSSSOKP,Z,UNDP,53219,A10,101,,Operations Manager  (Only open to South African Nationals),2015
SSSSSOFZ,XKRXPZ,UNDP,26394,A14,28,Internal,Senior Driver,2019
SSSSSOFP,Z,UNDP,32211,A6,2,,Finance Associate,2012
SSSSSOAO,Z,UNDP,5350,A10,93,,Operations Manager- UNDP/ UNFPA,2016
SSSSSOAO,Z,UNDP,7525,A10,114,,Asst. Country Director Operati,2017
SSSSSOAK,Z,UNDP,32291,A6,3,,Human Resources (HR) Associate,2012
SSSSSOAA,Z,UNDP,32299,A7,6,,Programme Finance Associate,2012
SSSSSORK,Z,UNDP,13547,A7,9,,Associé(e) aux Finances (G7) Haiti,2017
SSSSSORK,Z,UNDP,16084,A7,41,,Associé(e) aux Finances (G7) Haiti,2018
SSSSSORK,Z,UNDP,19097,A7,78,,Associé(e) aux Finances (G7) Haiti,2018
SSSSSORK,KSZZPPOR,UNDP,21006,A7,27,External,Associé(e) aux Finances (G7) Haiti,2019
SSSSSORP,PDROXD,UNDP,55268,A16,184,External,Administrative Clerk (Administrative Services),2015
SSSSSORP,KSZZPXXP,UNDP,21582,A16,245,External,Assistant Administratif,2019
SSSSSODS,KSZZRZDS,UNDP,25568,A6,117,External,Associé(e) au Programme Résilience,2019
